attribute_infobox;attribute_mapping
name;http://xmlns.com/foaf/0.1/name
birth_name;dbo:birthName
birth_date;dbo:birthDate
birth_place;dbo:birthPlace
death_date;dbo:deathDate
death_place;dbo:deathPlace
death_cause;dbo:deathCause
resting_place;dbo:restingPlace
other_names;
siglum;
pronounce;
citizenship;dbo:citizenship
nationality;dbo:nationality
fields;dbo:academicDiscipline
workplaces;dbo:institution
patrons;
education;dbo:education
alma_mater;dbo:almaMater
thesis_title;
thesis_url;
thesis_year;
doctoral_advisor;dbo:doctoralAdvisor
academic_advisors;dbo:academicAdvisor
doctoral_students;dbo:doctoralStudent
notable_students;dbo:notableStudent
known_for;dbo:knownFor
influences;dbo:influencedBy
influenced;dbo:influenced
awards;dbo:award
author_abbrev_bot;
author_abbrev_zoo;
spouse;dbo:spouse
partner;
children;dbo:child
parents;dbo:parent
father;
mother;
relatives;dbo:relative
title;dbo:personFunction
website;http://xmlns.com/foaf/0.1/homepage
